source,all_jobs,jobs_posted_in_7_days,companies,companies_posted_jobs_in_7_days,updated_date,last_update,string_date
Careerbuilder,20780.0,4115.0,2543.0,1301.0,2022-02-21 00:00:00.000000,1.0,2022-02-21
Vietnamwork,10624.0,3660.0,4249.0,2102.0,2022-02-21 00:00:00.000000,1.0,2022-02-21
Itviec,2762.0,1200.0,1234.0,658.0,2022-02-21 00:00:00.000000,1.0,2022-02-21
Careerbuilder,20838.0,3785.0,2773.0,1236.0,2022-02-22 00:00:00.000000,1.0,2022-02-22
Vietnamwork,10659.0,3552.0,4300.0,2084.0,2022-02-22 00:00:00.000000,1.0,2022-02-22
Itviec,2806.0,1246.0,1234.0,670.0,2022-02-22 00:00:00.000000,1.0,2022-02-22
Careerbuilder,21421.0,3548.0,2835.0,1193.0,2022-02-24 00:00:00.000000,1.0,2022-02-24
Vietnamwork,11506.0,3549.0,4594.0,2081.0,2022-02-24 00:00:00.000000,1.0,2022-02-24
Itviec,2884.0,1238.0,1246.0,665.0,2022-02-24 00:00:00.000000,1.0,2022-02-24
Careerbuilder,21130.0,3666.0,2804.0,1217.0,2022-02-23 00:00:00.000000,1.0,2022-02-23
Vietnamwork,11083.0,3551.0,4445.0,2080.0,2022-02-23 00:00:00.000000,1.0,2022-02-23
Itviec,2844.0,1243.0,1239.0,668.0,2022-02-23 00:00:00.000000,1.0,2022-02-23
Careerbuilder,21636.0,3478.0,2852.0,1192.0,2022-02-25 00:00:00.000000,1.0,2022-02-25
Vietnamwork,11556.0,3532.0,4642.0,2092.0,2022-02-25 00:00:00.000000,1.0,2022-02-25
Itviec,2905.0,1256.0,1257.0,680.0,2022-02-25 00:00:00.000000,1.0,2022-02-25
Careerbuilder,21967.0,3368.0,2892.0,1161.0,2022-02-26 00:00:00.000000,1.0,2022-02-26
Vietnamwork,11634.0,3466.0,4664.0,2066.0,2022-02-26 00:00:00.000000,1.0,2022-02-26
Itviec,2923.0,1333.0,1269.0,697.0,2022-02-26 00:00:00.000000,1.0,2022-02-26
Careerbuilder,21756.0,3379.0,2856.0,1138.0,2022-02-27 00:00:00.000000,1.0,2022-02-27
Vietnamwork,11073.0,3426.0,4523.0,2057.0,2022-02-27 00:00:00.000000,1.0,2022-02-27
Itviec,2888.0,1312.0,1279.0,694.0,2022-02-27 00:00:00.000000,1.0,2022-02-27
Careerbuilder,21771.0,3413.0,2859.0,1148.0,2022-02-28 00:00:00.000000,1.0,2022-02-28
Vietnamwork,11099.0,3470.0,4556.0,2077.0,2022-02-28 00:00:00.000000,1.0,2022-02-28
Itviec,2901.0,1295.0,1280.0,696.0,2022-02-28 00:00:00.000000,1.0,2022-02-28
Careerbuilder,21902.0,3379.0,2865.0,1112.0,2022-03-01 00:00:00.000000,1.0,2022-03-01
Vietnamwork,11242.0,3494.0,4591.0,2072.0,2022-03-01 00:00:00.000000,1.0,2022-03-01
Itviec,2969.0,1405.0,1290.0,730.0,2022-03-01 00:00:00.000000,1.0,2022-03-01
Careerbuilder,22136.0,3329.0,2890.0,1112.0,2022-03-02 00:00:00.000000,1.0,2022-03-02
Vietnamwork,11596.0,3404.0,4701.0,2017.0,2022-03-02 00:00:00.000000,1.0,2022-03-02
Itviec,3023.0,1450.0,1310.0,742.0,2022-03-02 00:00:00.000000,1.0,2022-03-02
Careerbuilder,22471.0,3412.0,2903.0,1139.0,2022-03-03 00:00:00.000000,1.0,2022-03-03
Vietnamwork,11981.0,3347.0,4771.0,1997.0,2022-03-03 00:00:00.000000,1.0,2022-03-03
Itviec,3055.0,1400.0,1329.0,739.0,2022-03-03 00:00:00.000000,1.0,2022-03-03
Careerbuilder,22626.0,3309.0,2936.0,1144.0,2022-03-04 00:00:00.000000,1.0,2022-03-04
Vietnamwork,11984.0,3189.0,4810.0,1945.0,2022-03-04 00:00:00.000000,1.0,2022-03-04
Itviec,3066.0,1450.0,1339.0,757.0,2022-03-04 00:00:00.000000,1.0,2022-03-04
Careerbuilder,22978.0,3292.0,2968.0,1132.0,2022-03-05 00:00:00.000000,1.0,2022-03-05
Vietnamwork,11844.0,3182.0,4846.0,1937.0,2022-03-05 00:00:00.000000,1.0,2022-03-05
Itviec,3068.0,1404.0,1363.0,740.0,2022-03-05 00:00:00.000000,1.0,2022-03-05
Careerbuilder,22988.0,3302.0,2939.0,1132.0,2022-03-06 00:00:00.000000,1.0,2022-03-06
Vietnamwork,11846.0,3183.0,4846.0,1936.0,2022-03-06 00:00:00.000000,1.0,2022-03-06
Itviec,3068.0,1406.0,1363.0,740.0,2022-03-06 00:00:00.000000,1.0,2022-03-06
Careerbuilder,22614.0,3219.0,2947.0,1121.0,2022-03-07 00:00:00.000000,1.0,2022-03-07
Vietnamwork,11536.0,3153.0,4800.0,1929.0,2022-03-07 00:00:00.000000,1.0,2022-03-07
Itviec,3015.0,1403.0,1330.0,739.0,2022-03-07 00:00:00.000000,1.0,2022-03-07
Careerbuilder,22637.0,3227.0,2961.0,1152.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
Vietnamwork,11657.0,3111.0,4838.0,1906.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
Itviec,3056.0,1460.0,1318.0,757.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
Glints,6629.0,2585.0,1487.0,815.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
TopCV,30343.0,20936.0,6761.0,6735.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
ITNavi,855.0,540.0,395.0,260.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
TopDev,696.0,486.0,349.0,254.0,2022-03-08 00:00:00.000000,1.0,2022-03-08
Glints,6623.0,2552.0,1486.0,810.0,2022-03-08 00:00:00.000000,2.0,2022-03-08
TopCV,30460.0,20936.0,6745.0,6719.0,2022-03-08 00:00:00.000000,2.0,2022-03-08
Vietnamwork,11767.0,3263.0,4877.0,1984.0,2022-03-08 00:00:00.000000,2.0,2022-03-08
Careerbuilder,22791.0,3393.0,2970.0,1195.0,2022-03-08 00:00:00.000000,2.0,2022-03-08
Itviec,3100.0,1459.0,1325.0,758.0,2022-03-08 00:00:00.000000,2.0,2022-03-08
Glints,6704.0,2503.0,1498.0,803.0,2022-03-09 00:00:00.000000,1.0,2022-03-09
TopCV,30866.0,20947.0,6752.0,6726.0,2022-03-09 00:00:00.000000,1.0,2022-03-09
Vietnamwork,11985.0,3085.0,4950.0,1915.0,2022-03-09 00:00:00.000000,1.0,2022-03-09
Careerbuilder,22741.0,3151.0,2930.0,1133.0,2022-03-09 00:00:00.000000,1.0,2022-03-09
Itviec,3066.0,1424.0,1309.0,746.0,2022-03-09 00:00:00.000000,1.0,2022-03-09
Glints,6731.0,2479.0,1499.0,794.0,2022-03-10 00:00:00.000000,1.0,2022-03-10
TopCV,30908.0,20952.0,6731.0,6706.0,2022-03-10 00:00:00.000000,1.0,2022-03-10
Vietnamwork,12033.0,3205.0,4957.0,1968.0,2022-03-10 00:00:00.000000,1.0,2022-03-10
Careerbuilder,22777.0,3098.0,2991.0,1121.0,2022-03-10 00:00:00.000000,1.0,2022-03-10
Itviec,3054.0,1379.0,1307.0,729.0,2022-03-10 00:00:00.000000,1.0,2022-03-10
Glints,6796.0,2479.0,1503.0,792.0,2022-03-11 00:00:00.000000,1.0,2022-03-11
TopCV,31499.0,20930.0,6725.0,6694.0,2022-03-11 00:00:00.000000,1.0,2022-03-11
Vietnamwork,11725.0,3436.0,4851.0,2010.0,2022-03-11 00:00:00.000000,1.0,2022-03-11
Careerbuilder,22839.0,3075.0,3008.0,1116.0,2022-03-11 00:00:00.000000,1.0,2022-03-11
Itviec,3052.0,1321.0,1301.0,690.0,2022-03-11 00:00:00.000000,1.0,2022-03-11
Glints,7015.0,2584.0,1530.0,822.0,2022-03-12 00:00:00.000000,1.0,2022-03-12
TopCV,31526.0,20923.0,6791.0,6757.0,2022-03-12 00:00:00.000000,1.0,2022-03-12
Vietnamwork,11432.0,3629.0,4742.0,2065.0,2022-03-12 00:00:00.000000,1.0,2022-03-12
Careerbuilder,23104.0,3248.0,3027.0,1150.0,2022-03-12 00:00:00.000000,1.0,2022-03-12
Itviec,3069.0,1288.0,1298.0,677.0,2022-03-12 00:00:00.000000,1.0,2022-03-12
Glints,7043.0,2588.0,1528.0,809.0,2022-03-13 00:00:00.000000,1.0,2022-03-13
TopCV,31153.0,20910.0,6792.0,6759.0,2022-03-13 00:00:00.000000,1.0,2022-03-13
Vietnamwork,10620.0,3568.0,4546.0,2033.0,2022-03-13 00:00:00.000000,1.0,2022-03-13
Careerbuilder,22953.0,3077.0,3021.0,1125.0,2022-03-13 00:00:00.000000,1.0,2022-03-13
Itviec,3023.0,1255.0,1289.0,666.0,2022-03-13 00:00:00.000000,1.0,2022-03-13
Glints,6964.0,2601.0,1504.0,822.0,2022-03-14 00:00:00.000000,1.0,2022-03-14
TopCV,30998.0,20922.0,6765.0,6733.0,2022-03-14 00:00:00.000000,1.0,2022-03-14
Careerbuilder,22640.0,3082.0,2996.0,1127.0,2022-03-14 00:00:00.000000,1.0,2022-03-14
Itviec,2992.0,1227.0,1267.0,666.0,2022-03-14 00:00:00.000000,1.0,2022-03-14
Glints,6975.0,2606.0,1506.0,827.0,2022-03-14 00:00:00.000000,2.0,2022-03-14
Careerbuilder,22721.0,3195.0,3004.0,1153.0,2022-03-14 00:00:00.000000,2.0,2022-03-14
Itviec,2998.0,1226.0,1273.0,656.0,2022-03-14 00:00:00.000000,2.0,2022-03-14
Glints,6943.0,2576.0,1503.0,827.0,2022-03-15 00:00:00.000000,2.0,2022-03-15
TopCV,32378.0,20932.0,6814.0,6773.0,2022-03-15 00:00:00.000000,2.0,2022-03-15
Vietnamwork,10220.0,3727.0,4416.0,2074.0,2022-03-15 00:00:00.000000,2.0,2022-03-15
Careerbuilder,22762.0,3112.0,3011.0,1126.0,2022-03-15 00:00:00.000000,2.0,2022-03-15
Itviec,2944.0,1332.0,1258.0,687.0,2022-03-15 00:00:00.000000,2.0,2022-03-15
Glints,6954.0,2563.0,1507.0,822.0,2022-03-15 00:00:00.000000,1.0,2022-03-15
TopCV,32629.0,20938.0,6833.0,6792.0,2022-03-15 00:00:00.000000,1.0,2022-03-15
Vietnamwork,10296.0,3826.0,4411.0,2113.0,2022-03-15 00:00:00.000000,1.0,2022-03-15
Careerbuilder,22877.0,3274.0,3013.0,1156.0,2022-03-15 00:00:00.000000,1.0,2022-03-15
Itviec,2958.0,1284.0,1260.0,679.0,2022-03-15 00:00:00.000000,1.0,2022-03-15
Glints,6985.0,2519.0,1512.0,812.0,2022-03-16 00:00:00.000000,2.0,2022-03-16
TopCV,31728.0,20895.0,6878.0,6837.0,2022-03-16 00:00:00.000000,2.0,2022-03-16
Vietnamwork,10757.0,3959.0,4504.0,2169.0,2022-03-16 00:00:00.000000,2.0,2022-03-16
Careerbuilder,22785.0,3255.0,2967.0,1153.0,2022-03-16 00:00:00.000000,2.0,2022-03-16
Itviec,2865.0,1324.0,1239.0,682.0,2022-03-16 00:00:00.000000,2.0,2022-03-16
Glints,6836.0,2492.0,1490.0,807.0,2022-03-16 00:00:00.000000,1.0,2022-03-16
TopCV,31816.0,20901.0,6858.0,6815.0,2022-03-16 11:10:13.202847,1.0,2022-03-16
Vietnamwork,10767.0,3970.0,4502.0,2171.0,2022-03-16 11:10:13.202847,1.0,2022-03-16
Careerbuilder,22978.0,3276.0,3035.0,1173.0,2022-03-16 11:10:13.202847,1.0,2022-03-16
Itviec,2873.0,1302.0,1245.0,674.0,2022-03-16 11:10:13.202847,1.0,2022-03-16
Vietnamwork,10835.0,4131.0,4569.0,2199.0,2022-03-17 06:51:04.128694,3.0,2022-03-17
Careerbuilder,23148.0,3323.0,740.0,711.0,2022-03-17 06:51:04.128694,3.0,2022-03-17
Itviec,2719.0,1280.0,1199.0,662.0,2022-03-17 06:51:04.128694,3.0,2022-03-17
Vietnamwork,10835.0,4131.0,4569.0,2199.0,2022-03-17 07:00:08.851268,2.0,2022-03-17
Careerbuilder,23148.0,3323.0,470.0,435.0,2022-03-17 07:00:08.851268,2.0,2022-03-17
Itviec,2719.0,1280.0,1199.0,662.0,2022-03-17 07:00:08.851268,2.0,2022-03-17
Glints,6819.0,2471.0,1481.0,790.0,2022-03-17 08:06:19.804632,1.0,2022-03-17
TopCV,32502.0,20906.0,6962.0,6915.0,2022-03-17 08:06:19.804632,1.0,2022-03-17
Vietnamwork,10835.0,4131.0,4569.0,2199.0,2022-03-17 08:06:19.804632,1.0,2022-03-17
Careerbuilder,23148.0,3323.0,3048.0,1155.0,2022-03-17 08:06:19.804632,1.0,2022-03-17
Itviec,2721.0,1278.0,1199.0,662.0,2022-03-17 08:06:19.804632,1.0,2022-03-17
Vietnamwork,10859.0,4048.0,4514.0,2196.0,2022-03-18 06:46:07.631269,3.0,2022-03-18
Careerbuilder,23446.0,3477.0,269.0,312.0,2022-03-18 06:46:07.631269,3.0,2022-03-18
Itviec,2629.0,1337.0,1167.0,678.0,2022-03-18 06:46:07.631269,3.0,2022-03-18
Glints,6950.0,2523.0,1494.0,796.0,2022-03-18 08:12:06.361165,2.0,2022-03-18
TopCV,33304.0,20915.0,7004.0,6950.0,2022-03-18 08:12:06.361165,2.0,2022-03-18
Vietnamwork,10859.0,4048.0,4514.0,2196.0,2022-03-18 08:12:06.361165,2.0,2022-03-18
Careerbuilder,23446.0,3477.0,3070.0,1174.0,2022-03-18 08:12:06.361165,2.0,2022-03-18
Itviec,2629.0,1337.0,1167.0,678.0,2022-03-18 08:12:06.361165,2.0,2022-03-18
Glints,6958.0,2531.0,1494.0,796.0,2022-03-18 09:55:52.140796,1.0,2022-03-18
LinkedIn,23771.0,4252.0,,,2022-03-18 09:55:52.140796,1.0,2022-03-18
TopCV,33345.0,20914.0,6991.0,6935.0,2022-03-18 09:55:52.140796,1.0,2022-03-18
Vietnamwork,10862.0,4051.0,4515.0,2198.0,2022-03-18 09:55:52.140796,1.0,2022-03-18
Careerbuilder,23448.0,3479.0,3067.0,1174.0,2022-03-18 09:55:52.140796,1.0,2022-03-18
Itviec,2633.0,1330.0,1170.0,677.0,2022-03-18 09:55:52.140796,1.0,2022-03-18
Glints,7128.0,2542.0,1496.0,797.0,2022-03-19 22:47:49.045974,1.0,2022-03-19
LinkedIn,21345.0,4494.0,,,2022-03-19 22:47:49.045974,1.0,2022-03-19
TopCV,33907.0,20930.0,7095.0,7034.0,2022-03-19 22:47:49.045974,1.0,2022-03-19
Vietnamwork,10974.0,4099.0,4550.0,2241.0,2022-03-19 22:47:49.045974,1.0,2022-03-19
Careerbuilder,23711.0,3630.0,3094.0,1204.0,2022-03-19 22:47:49.045974,1.0,2022-03-19
Itviec,2568.0,1300.0,1144.0,655.0,2022-03-19 22:47:49.045974,1.0,2022-03-19
Glints,7125.0,2519.0,1494.0,799.0,2022-03-20 21:53:00.063870,1.0,2022-03-20
LinkedIn,24270.0,4405.0,,,2022-03-20 21:53:00.063870,1.0,2022-03-20
TopCV,33503.0,20935.0,7077.0,7020.0,2022-03-20 21:53:00.063870,1.0,2022-03-20
Vietnamwork,10547.0,4029.0,4354.0,2200.0,2022-03-20 21:53:00.063870,1.0,2022-03-20
Careerbuilder,23553.0,3493.0,3081.0,1172.0,2022-03-20 21:53:00.063870,1.0,2022-03-20
Itviec,2484.0,1302.0,1133.0,658.0,2022-03-20 21:53:00.063870,1.0,2022-03-20
Glints,7073.0,2542.0,1489.0,792.0,2022-03-21 07:18:50.796882,1.0,2022-03-21
LinkedIn,24284.0,4375.0,,,2022-03-21 07:18:50.796882,1.0,2022-03-21
TopCV,32748.0,20905.0,7036.0,6980.0,2022-03-21 07:18:50.796882,1.0,2022-03-21
Vietnamwork,10115.0,4001.0,4207.0,2183.0,2022-03-21 07:18:50.796882,1.0,2022-03-21
Careerbuilder,23163.0,3453.0,3045.0,1161.0,2022-03-21 07:18:50.796882,1.0,2022-03-21
Itviec,2465.0,1313.0,1118.0,666.0,2022-03-21 07:18:50.796882,1.0,2022-03-21
Glints,7017.0,2405.0,1471.0,761.0,2022-03-22 08:15:15.220023,2.0,2022-03-22
LinkedIn,24365.0,3997.0,,,2022-03-22 08:15:15.220023,2.0,2022-03-22
TopCV,34006.0,20957.0,7120.0,7062.0,2022-03-22 08:15:15.220023,2.0,2022-03-22
Vietnamwork,10681.0,4056.0,4436.0,2226.0,2022-03-22 08:15:15.220023,2.0,2022-03-22
Careerbuilder,23284.0,3433.0,3059.0,1161.0,2022-03-22 08:15:15.220023,2.0,2022-03-22
Itviec,2446.0,1397.0,1113.0,696.0,2022-03-22 08:15:15.220023,2.0,2022-03-22
