source,all_jobs,jobs_posted_in_7_days,companies,companies_posted_jobs_in_7_days,updated_date,last_update,string_date
Glints,7058.0,2433.0,1473.0,762.0,2022-03-22 14:58:57.696861,1.0,2022-03-22
LinkedIn,24475.0,3959.0,,,2022-03-22 14:58:57.696861,1.0,2022-03-22
,,,,,2022-03-22 14:58:57.696861,1.0,
Vietnamwork,10805.0,4241.0,4437.0,2308.0,2022-03-22 14:58:57.696861,1.0,2022-03-22
Careerbuilder,23482.0,3697.0,3063.0,1220.0,2022-03-22 14:58:57.696861,1.0,2022-03-22
Itviec,2493.0,1411.0,1124.0,698.0,2022-03-22 14:58:57.696861,1.0,2022-03-22
Glints,7085.0,2544.0,1474.0,772.0,2022-03-23 09:06:20.508212,1.0,2022-03-23
LinkedIn,23098.0,4284.0,,,2022-03-23 09:06:20.508212,1.0,2022-03-23
TopCV,34937.0,20977.0,7176.0,7114.0,2022-03-23 09:06:20.508212,1.0,2022-03-23
Vietnamwork,11079.0,3925.0,4567.0,2209.0,2022-03-23 09:06:20.508212,1.0,2022-03-23
Careerbuilder,23487.0,3321.0,3069.0,1144.0,2022-03-23 09:06:20.508212,1.0,2022-03-23
Itviec,2430.0,1397.0,1096.0,686.0,2022-03-23 09:06:20.508212,1.0,2022-03-23
Glints,7154.0,2525.0,1484.0,782.0,2022-03-24 09:38:22.471852,2.0,2022-03-24
LinkedIn,24759.0,4336.0,,,2022-03-24 09:38:22.471852,2.0,2022-03-24
TopCV,35607.0,20981.0,7232.0,7164.0,2022-03-24 09:38:22.471852,2.0,2022-03-24
Vietnamwork,11196.0,3913.0,4556.0,2225.0,2022-03-24 09:38:22.471852,2.0,2022-03-24
Careerbuilder,23764.0,3272.0,3090.0,1134.0,2022-03-24 09:38:22.471852,2.0,2022-03-24
Itviec,2465.0,1379.0,1106.0,691.0,2022-03-24 09:38:22.471852,2.0,2022-03-24
Glints,7257.0,2556.0,1488.0,780.0,2022-03-24 22:56:39.385823,1.0,2022-03-24
LinkedIn,24522.0,4367.0,,,2022-03-24 22:56:39.385823,1.0,2022-03-24
TopCV,36828.0,21011.0,7240.0,7168.0,2022-03-24 22:56:39.385823,1.0,2022-03-24
Vietnamwork,11652.0,4532.0,4667.0,2493.0,2022-03-24 22:56:39.385823,1.0,2022-03-24
Careerbuilder,24213.0,3861.0,3120.0,1258.0,2022-03-24 22:56:39.385823,1.0,2022-03-24
Itviec,2536.0,1396.0,1124.0,697.0,2022-03-24 22:56:39.385823,1.0,2022-03-24
,,,,,2022-03-25 09:48:15.974137,1.0,
LinkedIn,24165.0,3950.0,,,2022-03-25 09:48:15.974137,2.0,2022-03-25
,,,,,2022-03-25 09:48:15.974137,1.0,
Vietnamwork,11201.0,3902.0,4553.0,2232.0,2022-03-25 09:48:15.974137,2.0,2022-03-25
Careerbuilder,23965.0,3153.0,3092.0,1134.0,2022-03-25 09:48:15.974137,2.0,2022-03-25
Itviec,2442.0,1370.0,1082.0,695.0,2022-03-25 09:48:15.974137,2.0,2022-03-25
Glints,7250.0,2555.0,1485.0,783.0,2022-03-25 11:47:11.300706,1.0,2022-03-25
LinkedIn,24122.0,3947.0,,,2022-03-25 11:47:11.300706,1.0,2022-03-25
TopCV,36563.0,20879.0,7196.0,7127.0,2022-03-25 11:47:11.300706,1.0,2022-03-25
Vietnamwork,11251.0,3973.0,4554.0,2266.0,2022-03-25 11:47:11.300706,1.0,2022-03-25
Careerbuilder,24045.0,3250.0,3102.0,1150.0,2022-03-25 11:47:11.300706,1.0,2022-03-25
Itviec,2447.0,1351.0,1086.0,692.0,2022-03-25 11:47:11.300706,1.0,2022-03-25
,,,,,2022-03-27 00:29:35.057767,1.0,
LinkedIn,24637.0,4222.0,,,2022-03-27 00:29:35.057767,1.0,2022-03-26
TopCV,36969.0,20939.0,7268.0,7198.0,2022-03-27 00:29:35.057767,1.0,2022-03-26
Vietnamwork,11304.0,3875.0,4627.0,2228.0,2022-03-27 00:29:35.057767,1.0,2022-03-26
Careerbuilder,24336.0,3286.0,3136.0,1119.0,2022-03-27 00:29:35.057767,1.0,2022-03-26
Itviec,2456.0,1293.0,1079.0,674.0,2022-03-27 00:29:35.057767,1.0,2022-03-26
Glints,7365.0,2536.0,1502.0,806.0,2022-03-27 08:47:18.804079,1.0,2022-03-27
LinkedIn,24651.0,4217.0,,,2022-03-27 08:47:18.804079,1.0,2022-03-27
,,,,,2022-03-27 08:47:18.804079,1.0,
Vietnamwork,10923.0,3798.0,4498.0,2201.0,2022-03-27 08:47:18.804079,1.0,2022-03-27
Careerbuilder,24195.0,3148.0,3125.0,1094.0,2022-03-27 08:47:18.804079,1.0,2022-03-27
Itviec,2423.0,1287.0,1065.0,670.0,2022-03-27 08:47:18.804079,1.0,2022-03-27
Glints,7301.0,2458.0,1491.0,796.0,2022-03-28 05:34:17.290350,1.0,2022-03-28
LinkedIn,24797.0,4206.0,,,2022-03-28 05:34:17.290350,1.0,2022-03-28
TopCV,36385.0,20970.0,7279.0,7211.0,2022-03-28 05:34:17.290350,1.0,2022-03-28
,,,,,2022-03-28 05:34:17.290350,1.0,
Careerbuilder,23359.0,3147.0,3051.0,1096.0,2022-03-28 05:34:17.290350,1.0,2022-03-28
Itviec,2439.0,1290.0,1077.0,679.0,2022-03-28 05:34:17.290350,1.0,2022-03-28
Glints,7277.0,2452.0,1476.0,791.0,2022-03-29 11:05:49.802100,1.0,2022-03-29
LinkedIn,24630.0,4045.0,,,2022-03-29 11:05:49.802100,1.0,2022-03-29
TopCV,37605.0,20956.0,7295.0,7216.0,2022-03-29 11:05:49.802100,1.0,2022-03-29
,,,,,2022-03-29 11:05:49.802100,1.0,
Careerbuilder,24090.0,3150.0,3115.0,1100.0,2022-03-29 11:05:49.802100,1.0,2022-03-29
Itviec,2428.0,1353.0,1073.0,689.0,2022-03-29 11:05:49.802100,1.0,2022-03-29
Glints,7402.0,2487.0,1496.0,799.0,2022-03-30 09:26:47.230904,1.0,2022-03-30
LinkedIn,24785.0,4131.0,,,2022-03-30 09:26:47.230904,1.0,2022-03-30
TopCV,38487.0,20999.0,7365.0,7288.0,2022-03-30 09:26:47.230904,1.0,2022-03-30
,,,,,2022-03-30 09:26:47.230904,1.0,
Careerbuilder,24252.0,3089.0,3124.0,1090.0,2022-03-30 09:26:47.230904,1.0,2022-03-30
Itviec,2422.0,1366.0,1063.0,690.0,2022-03-30 09:26:47.230904,1.0,2022-03-30
Glints,7500.0,2619.0,1511.0,799.0,2022-03-31 09:50:33.019529,1.0,2022-03-31
LinkedIn,25578.0,5912.0,,,2022-03-31 09:50:33.019529,1.0,2022-03-31
TopCV,38509.0,20764.0,7328.0,7258.0,2022-03-31 09:50:33.019529,1.0,2022-03-31
Vietnamwork,11506.0,3848.0,4654.0,2236.0,2022-03-31 09:50:33.019529,1.0,2022-03-31
Careerbuilder,24532.0,3069.0,3165.0,1101.0,2022-03-31 09:50:33.019529,1.0,2022-03-31
Itviec,2404.0,1305.0,1060.0,672.0,2022-03-31 09:50:33.019529,1.0,2022-03-31
Glints,7653.0,2672.0,1535.0,815.0,2022-04-01 10:09:10.835113,1.0,2022-04-01
LinkedIn,27531.0,6672.0,,,2022-04-01 10:09:10.835113,1.0,2022-04-01
TopCV,28505.0,20704.0,7221.0,7188.0,2022-04-01 10:09:10.835113,1.0,2022-04-01
Vietnamwork,11877.0,4179.0,4802.0,2358.0,2022-04-01 10:09:10.835113,1.0,2022-04-01
Careerbuilder,24714.0,3029.0,3182.0,1120.0,2022-04-01 10:09:10.835113,1.0,2022-04-01
Itviec,2424.0,1310.0,1060.0,662.0,2022-04-01 10:09:10.835113,1.0,2022-04-01
Glints,7659.0,2444.0,1532.0,757.0,2022-04-03 22:37:25.088513,1.0,2022-04-03
LinkedIn,28057.0,6868.0,,,2022-04-03 22:37:25.088513,1.0,2022-04-03
TopCV,28120.0,20805.0,7072.0,7042.0,2022-04-03 22:37:25.088513,1.0,2022-04-03
Vietnamwork,11568.0,3965.0,4685.0,2260.0,2022-04-03 22:37:25.088513,1.0,2022-04-03
Careerbuilder,25062.0,3093.0,3207.0,1142.0,2022-04-03 22:37:25.088513,1.0,2022-04-03
Itviec,2444.0,1315.0,1077.0,667.0,2022-04-03 22:37:25.088513,1.0,2022-04-03
Glints,7548.0,2406.0,1525.0,751.0,2022-04-04 09:55:27.405337,1.0,2022-04-04
LinkedIn,28043.0,6730.0,,,2022-04-04 09:55:27.405337,1.0,2022-04-04
TopCV,27868.0,20819.0,7025.0,6996.0,2022-04-04 09:55:27.405337,1.0,2022-04-04
Vietnamwork,11159.0,3931.0,4586.0,2250.0,2022-04-04 09:55:27.405337,1.0,2022-04-04
Careerbuilder,24964.0,3061.0,3201.0,1135.0,2022-04-04 09:55:27.405337,1.0,2022-04-04
Itviec,2429.0,1313.0,1069.0,672.0,2022-04-04 09:55:27.405337,1.0,2022-04-04
Glints,7417.0,2272.0,1504.0,741.0,2022-04-05 10:03:24.572755,2.0,2022-04-05
LinkedIn,29740.0,8706.0,,,2022-04-05 10:03:24.572755,2.0,2022-04-05
,,,,,2022-04-05 10:03:24.572755,1.0,
,,,,,2022-04-05 10:03:24.572755,1.0,
,,,,,2022-04-05 10:03:24.572755,1.0,
Itviec,2419.0,1348.0,1069.0,694.0,2022-04-05 10:03:24.572755,2.0,2022-04-05
Glints,7426.0,2173.0,1491.0,736.0,2022-04-05 23:51:34.097525,1.0,2022-04-05
LinkedIn,29222.0,8511.0,,,2022-04-05 23:51:34.097525,1.0,2022-04-05
TopCV,31288.0,20881.0,7015.0,6988.0,2022-04-05 23:51:34.097525,1.0,2022-04-05
Vietnamwork,12095.0,4529.0,4824.0,2500.0,2022-04-05 23:51:34.097525,1.0,2022-04-05
Careerbuilder,25686.0,3815.0,3259.0,1287.0,2022-04-05 23:51:34.097525,1.0,2022-04-05
Itviec,2492.0,1372.0,1101.0,700.0,2022-04-05 23:51:34.097525,1.0,2022-04-05
Glints,7343.0,2133.0,1482.0,725.0,2022-04-06 09:54:39.242722,1.0,2022-04-06
LinkedIn,30060.0,8498.0,,,2022-04-06 09:54:39.242722,1.0,2022-04-06
TopCV,31122.0,20879.0,6963.0,6936.0,2022-04-06 09:54:39.242722,1.0,2022-04-06
Vietnamwork,12097.0,3901.0,4822.0,2193.0,2022-04-06 09:54:39.242722,1.0,2022-04-06
Careerbuilder,25438.0,3290.0,3247.0,1159.0,2022-04-06 09:54:39.242722,1.0,2022-04-06
Itviec,2369.0,1352.0,1077.0,696.0,2022-04-06 09:54:39.242722,1.0,2022-04-06
Glints,7401.0,2008.0,1377.0,701.0,2022-04-07 10:03:18.786836,1.0,2022-04-07
LinkedIn,28320.0,5340.0,,,2022-04-07 10:03:18.786836,1.0,2022-04-07
,,,,,2022-04-07 10:03:18.786836,1.0,
Vietnamwork,12241.0,3936.0,4864.0,2194.0,2022-04-07 10:03:18.786836,1.0,2022-04-07
Careerbuilder,25625.0,3281.0,3266.0,1169.0,2022-04-07 10:03:18.786836,1.0,2022-04-07
Itviec,2366.0,1309.0,1065.0,679.0,2022-04-07 10:03:18.786836,1.0,2022-04-07
Glints,7440.0,1902.0,1479.0,715.0,2022-04-08 11:09:52.002671,2.0,2022-04-08
,,,,,2022-04-08 11:09:52.002671,1.0,
,,,,,2022-04-08 11:09:52.002671,1.0,
,,,,,2022-04-08 11:09:52.002671,1.0,
Careerbuilder,25812.0,3377.0,3288.0,1179.0,2022-04-08 11:09:52.002671,2.0,2022-04-08
Itviec,2378.0,1297.0,1075.0,678.0,2022-04-08 11:09:52.002671,2.0,2022-04-08
Glints,7441.0,1880.0,1468.0,704.0,2022-04-08 15:13:57.393535,1.0,2022-04-08
,,,,,2022-04-08 15:13:57.393535,1.0,
TopCV,33562.0,20903.0,7052.0,7022.0,2022-04-08 15:13:57.393535,1.0,2022-04-08
,,,,,2022-04-08 15:13:57.393535,1.0,
Careerbuilder,25905.0,3502.0,3300.0,1214.0,2022-04-08 15:13:57.393535,1.0,2022-04-08
Itviec,2400.0,1302.0,1082.0,678.0,2022-04-08 15:13:57.393535,1.0,2022-04-08
,,,,,2022-04-09 22:46:54.614869,1.0,
LinkedIn,27938.0,5569.0,,,2022-04-09 22:46:54.614869,2.0,2022-04-09
,,,,,2022-04-09 22:46:54.614869,1.0,
Vietnamwork,12430.0,3843.0,4931.0,2220.0,2022-04-09 22:46:54.614869,2.0,2022-04-09
Careerbuilder,26104.0,3353.0,2852.0,1178.0,2022-04-09 22:46:54.614869,2.0,2022-04-09
Itviec,2377.0,1309.0,1081.0,671.0,2022-04-09 22:46:54.614869,2.0,2022-04-09
Glints,7562.0,2018.0,1476.0,712.0,2022-04-10 00:08:15.869601,1.0,2022-04-09
LinkedIn,27931.0,5570.0,,,2022-04-10 00:08:15.869601,1.0,2022-04-09
,,,,,2022-04-10 00:08:15.869601,1.0,
Vietnamwork,12432.0,3847.0,4931.0,2221.0,2022-04-10 00:08:15.869601,1.0,2022-04-09
Careerbuilder,26103.0,3352.0,3304.0,1177.0,2022-04-10 00:08:15.869601,1.0,2022-04-09
Itviec,2377.0,1305.0,1081.0,670.0,2022-04-10 00:08:15.869601,1.0,2022-04-09
Glints,7396,2025,1491,706,2022-04-12 06:41:34.435810,1.0,2022-04-11
,,,,,2022-04-12 06:41:34.435810,1.0,
TopCV,31494,20828,7018,6985,2022-04-12 06:41:34.435810,1.0,2022-04-11
Vietnamwork,11335,3164,4654,1902,2022-04-12 06:41:34.435810,1.0,2022-04-11
Careerbuilder,24983,2645,3276,1031,2022-04-12 06:41:34.435810,1.0,2022-04-11
Itviec,2289,1301,1058,668,2022-04-12 06:41:34.435810,1.0,2022-04-11
TopDev,[685],[469],[334],[265],2022-04-12 06:41:34.435810,1.0,2022-04-11
ITNavi,[698],[508],[374],[304],2022-04-12 06:41:34.435810,1.0,2022-04-11
Glints,7396,2008,1489,700,2022-04-12 10:39:36.042130,4.0,2022-04-12
,,,,,2022-04-12 10:39:36.042130,1.0,
TopCV,31757,20836,6970,6936,2022-04-12 10:39:36.042130,4.0,2022-04-12
Vietnamwork,11336,3169,4656,1906,2022-04-12 10:39:36.042130,4.0,2022-04-12
Careerbuilder,25491,2659,3294,1035,2022-04-12 10:39:36.042130,4.0,2022-04-12
Itviec,2295,1280,1060,665,2022-04-12 10:39:36.042130,4.0,2022-04-12
TopDev,686,469,335,266,2022-04-12 10:39:36.042130,4.0,2022-04-12
,,,,,2022-04-12 10:39:36.042130,1.0,
,,,,,2022-04-12 15:51:16.645763,1.0,
,,,,,2022-04-12 15:51:16.645763,1.0,
,,,,,2022-04-12 15:51:16.645763,1.0,
Vietnamwork,11620,3589,4747,2095,2022-04-12 15:51:16.645763,3.0,2022-04-12
Careerbuilder,25772,3057,139,141,2022-04-12 15:51:16.645763,3.0,2022-04-12
Itviec,2372,1278,1082,656,2022-04-12 15:51:16.645763,3.0,2022-04-12
,,,,,2022-04-12 15:51:16.645763,1.0,
,,,,,2022-04-12 15:51:16.645763,1.0,
,,,,,2022-04-12 17:21:54.457881,1.0,
LinkedIn,27969,5595,,,2022-04-12 17:21:54.457881,2.0,2022-04-12
,,,,,2022-04-12 17:21:54.457881,1.0,
Vietnamwork,11718,3694,4754,2133,2022-04-12 17:21:54.457881,2.0,2022-04-12
Careerbuilder,25819,3123,2018,1157,2022-04-12 17:21:54.457881,2.0,2022-04-12
Itviec,2382,1281,1085,659,2022-04-12 17:21:54.457881,2.0,2022-04-12
,,,,,2022-04-12 17:21:54.457881,1.0,
ITNavi,790,601,402,332,2022-04-12 17:21:54.457881,2.0,2022-04-12
Glints,7460,2026,1476,681,2022-04-12 22:18:43.379685,1.0,2022-04-12
LinkedIn,27885,5504,,,2022-04-12 22:18:43.379685,1.0,2022-04-12
,,,,,2022-04-12 22:18:43.379685,1.0,
Vietnamwork,11889,3896,4855,2225,2022-04-12 22:18:43.379685,1.0,2022-04-12
Careerbuilder,25924,3233,3321,1178,2022-04-12 22:18:43.379685,1.0,2022-04-12
Itviec,2390,1299,1087,659,2022-04-12 22:18:43.379685,1.0,2022-04-12
,,,,,2022-04-12 22:18:43.379685,1.0,
,,,,,2022-04-12 22:18:43.379685,1.0,
Glints,7503,2089,1507,680,2022-04-14 01:18:53.562196,3.0,2022-04-13
LinkedIn,26928,4911,,,2022-04-14 01:18:53.562196,3.0,2022-04-13
TopCV,34891,20958,7056,7022,2022-04-14 01:18:53.562196,3.0,2022-04-13
Vietnamwork,12375,3984,4961,2231,2022-04-14 01:18:53.562196,3.0,2022-04-13
Careerbuilder,26199,3290,3330,1187,2022-04-14 01:18:53.562196,3.0,2022-04-13
Itviec,2418,1301,1092,645,2022-04-14 01:18:53.562196,3.0,2022-04-13
TopDev,714,453,341,257,2022-04-14 01:18:53.562196,3.0,2022-04-13
,,,,,2022-04-14 01:18:53.562196,1.0,
